# t_us, mag_frd_x [uT], mag_frd_y [uT], mag_frd_z [uT]  -- synthesized: WMM(49.8728;8.6512) field rotated by the CF attitude
2026345000,-0.8864,20.3847,44.4135
2026445000,-0.7950,20.4912,44.3662
2026545000,-0.7798,20.5198,44.3532
2026645000,-0.7782,20.5157,44.3552
2026745000,-0.7801,20.3974,44.4097
2026845000,-0.7409,20.5409,44.3441
2026945000,-0.6937,20.5458,44.3426
2027045000,-0.7369,20.4908,44.3674
2027145000,-0.6635,20.5340,44.3486
2027245000,-0.6842,20.5182,44.3556
2027345000,-0.6862,20.4972,44.3652
2027445000,-0.8039,20.4951,44.3642
2027545000,-0.8436,20.4726,44.3739
2027645000,-0.8043,20.4610,44.3800
2027745000,-0.7824,20.3078,44.4507
2027845000,-0.6483,20.5302,44.3506
2027945000,-0.6209,20.5520,44.3408
2028045000,-0.7451,20.7014,44.2693
2028145000,-0.7346,20.3892,44.4142
2028245000,-0.6379,20.3357,44.4402
2028345000,-0.7088,20.3988,44.4102
2028445000,-0.7282,20.4506,44.3860
2028546000,-0.6150,20.5178,44.3568
2028645000,-0.6102,20.5386,44.3472
2028745000,-0.7344,20.3794,44.4187
2028845000,-0.6915,20.5768,44.3283
2028945000,-0.6223,20.5727,44.3312
2029045000,-0.6365,20.5500,44.3415
2029145000,-0.6395,20.4910,44.3688
2029245000,-0.6371,20.4737,44.3768
2029345000,-0.6931,20.4640,44.3804
2029445000,-0.7112,20.4564,44.3837
2029547000,-0.6664,20.4665,44.3797
2029645000,-0.6677,20.4322,44.3955
2029745000,-0.7191,20.4438,44.3893
2029845000,-0.7576,20.4624,44.3801
2029945000,-0.6145,20.5216,44.3550
2030045000,-0.6576,20.4822,44.3726
2030145000,-0.6183,20.5178,44.3567
2030245000,-0.6722,20.5293,44.3506
2030345000,-0.6305,20.5297,44.3510
2030445000,-0.6180,20.4978,44.3659
2030545000,-0.7956,20.3371,44.4370
2030645000,-0.7357,20.4438,44.3891
2030745000,-0.6886,20.5047,44.3617
2030845000,-0.6834,20.4270,44.3977
2030945000,-0.6980,20.5055,44.3612
2031045000,-0.7250,20.4890,44.3684
2031145000,-0.6473,20.4654,44.3805
2031248000,-0.7137,20.5211,44.3538
2031345000,-0.6038,20.5681,44.3336
2031445000,-0.6382,20.5492,44.3419
2031545000,-0.7020,20.4928,44.3670
2031645000,-0.7001,20.4771,44.3743
2031745000,-0.7632,20.3808,44.4176
2031845000,-0.7622,20.4527,44.3845
2031945000,-0.6629,20.5053,44.3618
2032045000,-0.6876,20.4950,44.3662
2032145000,-0.6137,20.4991,44.3654
2032245000,-0.6983,20.4826,44.3718
2032345000,-0.6640,20.4796,44.3737
2032445000,-0.6668,20.4771,44.3748
2032545000,-0.6659,20.4801,44.3734
2032645000,-0.6574,20.4778,44.3746
2032745000,-0.7406,20.4058,44.4064
2032847000,-0.7731,20.4394,44.3904
2032946000,-0.7613,20.4540,44.3839
2033045000,-0.5518,20.5312,44.3514
2033145000,-0.3939,21.0311,44.1182
2033245000,1.1032,27.0966,40.6625
2033345000,4.9258,33.1368,35.5889
2033445000,2.5578,31.9383,36.9091
2033545000,3.8348,33.6226,35.2660
2033645000,2.4136,33.1035,35.8778
2033748000,-0.1197,32.3198,36.6646
2033845000,-1.8011,32.1855,36.7386
2033945000,-3.3983,29.7117,38.6594
2034045000,-2.5606,27.7726,40.1373
2034145000,-1.5548,25.0473,41.9416
2034245000,-0.6792,21.0171,44.1214
2034345000,1.7791,21.9595,43.6291
2034449000,4.0831,26.8106,40.6620
2034545000,5.0681,22.6589,43.0089
2034645000,0.9870,23.7261,42.7198
2034745000,2.8753,20.9637,44.0583
2034845000,4.5188,20.2981,44.2318
2034945000,3.4917,20.9165,44.0362
2035045000,3.7370,21.2298,43.8658
2035145000,4.3266,21.4625,43.6980
2035245000,7.6869,18.8285,44.4441
2035345000,14.2695,17.7032,43.2650
2035445000,17.8948,16.9043,42.2244
2035545000,18.6352,18.1313,41.3867
2035645000,16.9549,17.0866,42.5377
2035745000,17.0830,13.6718,43.7050
2035845000,15.4285,13.8009,44.2761
2035945000,14.5933,13.7372,44.5781
2036045000,14.6571,14.8809,44.1883
2036145000,17.6124,14.3849,43.2638
2036245000,20.7486,11.7831,42.6560
2036349000,22.2410,11.4238,41.9966
2036447000,23.0484,10.3855,41.8305
2036545000,22.9201,8.4104,42.3416
2036645000,22.5805,8.2092,42.5630
2036745000,23.9612,6.6650,42.0751
2036845000,23.6494,4.8652,42.4961
2036945000,23.6495,0.9957,42.7620
2037045000,23.3335,-0.7111,42.9409
2037145000,22.6962,-3.4807,43.1468
2037245000,22.0994,-6.2254,43.1479
2037345000,21.5152,-7.9890,43.1526
2037445000,19.3593,-10.2870,43.6838
2037545000,18.8364,-11.9941,43.4766
2037645000,17.4258,-14.6977,43.2343
2037745000,16.7247,-15.3763,43.2751
2037845000,15.0492,-17.2586,43.1803
2037945000,14.0055,-17.4084,43.4704
2038045000,12.1998,-18.5179,43.5561
2038145000,10.6367,-18.6624,43.9028
2038245000,9.5889,-18.4989,44.2122
2038345000,7.9594,-18.4327,44.5619
2038445000,6.7631,-20.5151,43.8437
2038545000,7.2756,-20.4831,43.7766
2038645000,6.6652,-21.1723,43.5452
2038745000,5.9798,-21.9858,43.2406
2038845000,4.9837,-22.6755,43.0100
2038945000,4.5799,-23.2032,42.7728
2039045000,3.9040,-22.8753,43.0158
2039145000,4.7486,-22.2547,43.2557
2039245000,3.9282,-21.5836,43.6760
2039345000,4.2572,-21.4065,43.7324
2039445000,4.1208,-21.7569,43.5722
2039545000,4.6397,-22.0418,43.3764
2039645000,4.8992,-21.9789,43.3798
2039745000,4.5890,-21.9473,43.4297
2039848000,4.4892,-21.7440,43.5422
2039947000,4.8671,-22.0245,43.3602
2040046000,4.5602,-22.0268,43.3924
2040146000,4.6003,-22.1033,43.3493
2040245000,4.2473,-22.1955,43.3382
2040346000,3.9634,-22.2220,43.3515
2040445000,3.5103,-22.1524,43.4261
2040545000,2.8378,-22.3295,43.3846
2040645000,3.3123,-22.3814,43.3241
2040745000,3.8813,-21.8843,43.5303
2040845000,4.8828,-21.7630,43.4903
2040945000,4.9747,-21.4462,43.6371
2041045000,5.3687,-21.2774,43.6730
2041145000,5.3909,-21.3995,43.6105
2041245000,4.7200,-21.8585,43.4604
2041345000,6.0452,-21.9302,43.2597
2041445000,6.1340,-22.8027,42.7936
2041545000,6.8039,-23.0824,42.5416
2041645000,6.7123,-22.8139,42.7007
2041745000,6.5149,-22.5900,42.8501
2041845000,6.8454,-22.1105,43.0482
2041945000,5.6132,-22.6398,42.9513
2042045000,5.0240,-22.8170,42.9305
2042145000,4.1316,-22.9344,42.9630
2042245000,4.1399,-22.3387,43.2750
2042345000,2.6551,-21.9479,43.5903
2042445000,1.9832,-21.2503,43.9701
2042545000,0.4626,-20.7762,44.2381
2042645000,-1.1736,-20.2667,44.4608
2042745000,-3.2856,-20.0888,44.4356
2042845000,-4.3271,-18.2433,45.1369
2042945000,-5.4740,-17.4081,45.3417
2043045000,-6.9468,-16.0998,45.6226
2043145000,-9.0055,-14.3394,45.8493
2043245000,-11.0314,-12.2946,46.0003
2043345000,-12.1845,-9.5918,46.3510
2043445000,-11.9443,-6.6923,46.9194
2043545000,-12.0582,-4.2161,47.1774
2043645000,-11.8902,-2.4645,47.3437
2043745000,-12.0172,-0.2285,47.3752
2043845000,-12.1201,1.8691,47.3127
2043945000,-12.2946,4.4466,47.0951
2044045000,-12.8842,8.1685,46.4344
2044145000,-12.6080,10.7958,45.9714
2044245000,-11.1605,13.2516,45.7025
2044345000,-9.4640,15.1291,45.5019
2044445000,-7.1387,16.8323,45.3276
2044545000,-4.0881,17.9278,45.2853
2044645000,-0.8616,18.6155,45.1841
2044745000,1.5715,19.5757,44.7571
2044845000,3.9911,20.6456,44.1215
2044945000,5.6168,20.2903,44.1094
2045045000,7.4086,19.5212,44.1918
2045148000,8.0104,19.1595,44.2451
2045245000,8.3748,19.1375,44.1871
2045345000,8.0339,19.3840,44.1429
2045445000,7.0101,19.1605,44.4141
2045545000,6.2938,18.0918,44.9661
2045645000,6.0884,17.8975,45.0721
2045745000,6.3239,17.3458,45.2550
2045845000,6.1418,17.7405,45.1269
2045945000,5.9303,18.1286,45.0007
2046045000,5.5169,18.1757,45.0343
2046145000,5.4491,18.5730,44.8802
2046245000,5.3274,18.0503,45.1075
2046345000,5.9173,18.2565,44.9507
2046445000,5.9702,17.3066,45.3179
2046545000,6.5080,18.5220,44.7600
2046645000,6.5555,19.0183,44.5444
2046745000,6.6288,19.0298,44.5287
2046845000,5.8185,19.0188,44.6465
2046945000,5.3000,19.0234,44.7091
2047045000,5.5340,18.8475,44.7552
2047145000,6.1543,19.4766,44.4034
2047245000,6.1184,19.5803,44.3628
2047345000,6.1226,19.6351,44.3380
2047445000,5.7440,19.6082,44.4005
2047545000,5.5288,19.1492,44.6275
2047645000,6.4278,19.0419,44.5530
2047745000,6.7290,19.3304,44.3840
2047845000,7.2452,20.3928,43.8237
2047948000,7.1231,21.0851,43.5151
2048045000,6.7282,20.8682,43.6822
2048145000,5.9032,20.5792,43.9378
2048245000,4.8242,20.5305,44.0920
2048345000,4.6025,19.5526,44.5577
2048445000,3.9265,19.6668,44.5722
2048545000,4.3669,18.7923,44.9072
2048645000,4.0684,18.9173,44.8828
2048745000,3.2409,18.9244,44.9471
2048845000,2.3762,18.5254,45.1668
2048945000,0.2961,18.0466,45.4215
2049045000,-0.9501,16.3083,46.0654
2049145000,-3.4889,14.6833,46.4877
2049245000,-5.0549,14.0640,46.5353
2049348000,-6.8461,12.3361,46.7956
2049445000,-8.4498,9.9206,47.1069
2049545000,-10.1128,6.9909,47.3047
2049645000,-10.9480,4.5468,47.4167
2049745000,-11.9144,0.9372,47.3925
2049845000,-11.7984,-0.6930,47.4257
2049946000,-11.6977,-2.1919,47.4050
2050045000,-11.5082,-3.2834,47.3884
2050145000,-10.9875,-4.6562,47.3970
2050245000,-11.1018,-6.6455,47.1324
2050345000,-11.4749,-9.6454,46.5207
2050445000,-10.4865,-13.2801,45.8536
2050545000,-7.9992,-16.5144,45.3008
2050645000,-7.4199,-18.7029,44.5424
2050745000,-4.8006,-19.9571,44.3570
2050845000,-1.7661,-21.1323,44.0362
2050945000,1.4060,-22.0598,43.5921
2051045000,3.5103,-22.7812,43.0996
2051147000,5.6450,-22.6799,42.9259
2051248000,6.0226,-23.4681,42.4483
2051346000,6.9247,-22.5929,42.7842
2051445000,7.5309,-22.5502,42.7043
2051545000,8.2099,-22.6276,42.5378
2051645000,7.9234,-22.6494,42.5805
2051745000,6.9608,-22.6686,42.7383
2051845000,6.6007,-22.2382,43.0206
2051945000,5.9949,-22.4573,42.9955
2052045000,5.8354,-22.1779,43.1621
2052145000,6.1136,-21.3659,43.5316
2052245000,5.8996,-20.7347,43.8651
2052345000,6.3879,-20.3703,43.9673
2052445000,6.4144,-20.4178,43.9414
2052545000,6.0964,-20.2082,44.0833
2052645000,6.0747,-20.6842,43.8650
2052745000,6.5584,-20.9866,43.6512
2052845000,6.8614,-21.6640,43.2720
2052945000,6.5940,-22.1399,43.0723
2053045000,6.3654,-21.5188,43.4201
2053145000,5.6286,-21.4708,43.5454
2053245000,5.3483,-21.9417,43.3456
2053345000,5.7049,-22.2926,43.1205
2053445000,4.8150,-23.2950,42.6971
2053545000,6.0821,-22.5531,42.9330
2053645000,5.8376,-22.2465,43.1265
2053745000,6.0433,-22.4306,43.0026
2053849000,5.5934,-22.3378,43.1117
2053948000,4.9331,-21.8943,43.4187
2054045000,5.5057,-21.9276,43.3330
2054145000,5.4234,-21.9322,43.3410
2054245000,6.4490,-22.1028,43.1133
2054345000,5.7730,-22.5955,42.9534
2054445000,5.5777,-22.6878,42.9305
2054545000,5.6393,-22.1130,43.2214
2054645000,4.8014,-21.8184,43.4716
2054745000,3.7676,-20.8742,44.0335
2054848000,2.3662,-20.4633,44.3231
2054945000,2.1497,-19.4632,44.7822
2055045000,1.3156,-18.9549,45.0318
2055145000,0.7348,-18.2443,45.3375
2055245000,-0.2783,-16.8675,45.8726
2055345000,-2.3782,-15.9581,46.1363
2055445000,-4.7824,-15.0935,46.2406
2055545000,-6.3327,-13.3501,46.5892
2055645000,-8.0204,-11.0841,46.9222
2055748000,-9.0907,-8.6183,47.2437
2055847000,-10.1444,-5.7041,47.4704
2055945000,-10.6435,-3.3383,47.5863
2056045000,-11.1937,-0.4484,47.5750
2056145000,-11.7764,3.0981,47.3350
2056245000,-10.6729,6.9243,47.1913
2056345000,-8.8019,10.1632,46.9906
2056445000,-6.3912,12.8557,46.7200
2056545000,-4.4681,15.3427,46.1900
2056645000,-2.6497,17.1104,45.7066
2056745000,-1.0573,18.7310,45.1322
2056845000,0.0328,20.1265,44.5399
2056947000,1.0080,20.9447,44.1496
2057045000,1.4902,21.3295,43.9512
2057146000,2.6861,21.0374,44.0351
2057245000,2.9616,21.2291,43.9253
2057345000,3.9533,20.8055,44.0498
2057445000,4.6371,20.2767,44.2293
2057545000,5.4501,19.7938,44.3552
2057645000,5.6898,19.0940,44.6310
2057745000,6.5334,19.2504,44.4479
2057847000,6.4947,19.2847,44.4387
2057945000,6.8180,19.6139,44.2458
2058045000,7.2738,20.3394,43.8438
2058145000,7.6875,20.4324,43.7298
2058248000,7.1308,19.9672,44.0380
2058347000,6.5301,20.3444,43.9584
2058447000,7.1820,20.1686,43.9378
2058545000,6.7364,19.9837,44.0925
2058645000,6.9979,19.6905,44.1836
2058745000,6.6163,19.5276,44.3145
2058845000,6.6392,19.2885,44.4157
2058945000,6.2156,19.9806,44.1704
2059045000,7.4357,19.0014,44.4133
2059145000,8.5308,20.0361,43.7568
2059245000,9.5216,20.0151,43.5616
2059345000,9.7705,20.1431,43.4473
2059445000,9.8665,20.3338,43.3367
2059545000,9.3947,20.1762,43.5148
2059645000,8.0389,20.2553,43.7490
2059745000,8.5535,20.1695,43.6911
2059845000,8.7541,20.2653,43.6069
2059945000,9.4512,19.9512,43.6062
2060045000,8.9885,19.1270,44.0709
2060145000,9.1225,18.9790,44.1073
2060245000,8.9159,19.2804,44.0188
2060345000,9.0165,17.9832,44.5442
2060445000,9.0760,17.7934,44.6083
2060545000,9.2866,16.7239,44.9772
2060645000,9.1213,18.1396,44.4594
2060745000,8.3673,18.9751,44.2585
2060845000,6.7031,19.3280,44.3889
2060945000,4.3843,18.8558,44.8789
2061045000,1.8607,17.5235,45.5889
2061145000,0.0603,15.8300,46.2416
2061245000,-2.8066,13.4138,46.9156
2061345000,-4.7848,11.6450,47.2269
2061445000,-6.6931,10.1229,47.3456
2061545000,-8.2805,8.4593,47.4210
2061645000,-9.7166,6.0805,47.5131
2061745000,-10.5108,2.7759,47.6518
2061845000,-11.7355,-0.5390,47.4433
2061945000,-13.0362,-3.6138,46.9668
2062045000,-12.4748,-5.9044,46.8871
2062145000,-11.8117,-9.4690,46.4726
2062245000,-9.6700,-13.3407,46.0152
2062348000,-7.3538,-16.7950,45.3070
2062445000,-5.1595,-19.4098,44.5592
2062545000,-1.9473,-21.8843,43.6597
2062645000,1.1350,-23.9184,42.6087
2062745000,3.6610,-25.5947,41.4775
2062845000,6.6961,-25.5592,41.1190
2062950000,7.5849,-26.0392,40.6609
2063045000,8.3973,-25.7243,40.7016
2063145000,8.4603,-25.0665,41.0971
2063245000,8.4083,-25.0706,41.1053
2063345000,8.1601,-25.6720,40.7828
2063445000,7.6949,-24.9245,41.3332
2063545000,8.0905,-23.4632,42.1058
2063645000,7.7709,-22.8638,42.4940
2063745000,8.4875,-22.3920,42.6080
2063845000,7.6199,-22.0418,42.9532
2063948000,6.8725,-21.4933,43.3554
2064045000,6.6118,-21.5265,43.3794
2064145000,7.2362,-21.1926,43.4441
2064246000,7.7470,-21.5261,43.1913
2064345000,7.6176,-21.9239,43.0139
2064445000,7.2940,-21.9135,43.0752
2064545000,6.8503,-21.3940,43.4080
2064645000,5.9012,-21.5403,43.4750
2064745000,5.3888,-21.8976,43.3628
2064845000,4.3570,-21.9074,43.4737
2064945000,4.9678,-21.2358,43.7406
2065045000,4.6347,-20.7713,43.9994
2065145000,4.8073,-20.5995,44.0616
2065245000,4.9600,-20.8452,43.9290
2065345000,4.8333,-20.2618,44.2151
2065445000,6.1346,-20.6093,43.8920
2065545000,7.0774,-21.0260,43.5511
2065645000,9.0214,-21.3130,43.0494
2065745000,8.7517,-22.0397,42.7380
2065845000,9.1254,-21.8983,42.7325
2065945000,9.7673,-21.9565,42.5605
2066045000,9.3288,-22.6364,42.3018
2066145000,11.2268,-23.0995,41.5843
2066245000,10.8563,-24.8657,40.6536
2066345000,13.0229,-24.0913,40.4832
2066445000,13.3527,-23.8874,40.4966
2066545000,15.2142,-22.7185,40.5127
2066646000,17.3387,-21.5782,40.2819
2066745000,18.9849,-21.1199,39.7794
2066845000,22.2865,-19.0204,39.1206
2066945000,24.4592,-17.9781,38.3069
2067045000,26.1993,-14.9947,38.4400
2067145000,26.9118,-12.3627,38.8818
2067245000,27.2854,-10.5681,39.1498
2067345000,27.7688,-8.9021,39.2240
2067445000,27.1161,-9.2134,39.6070
2067545000,27.2761,-8.7234,39.6080
2067645000,27.0683,-8.2888,39.8432
2067745000,27.6521,-5.9127,39.8658
2067845000,27.4657,-4.7837,40.1451
2067945000,27.2692,-3.0604,40.4463
2068045000,26.9115,-2.3199,40.7342
2068145000,26.4332,-1.4401,41.0864
2068245000,25.3637,-2.3978,41.7111
2068345000,25.2386,-2.2892,41.7930
2068445000,25.8024,-1.9121,41.4664
2068545000,26.4935,-1.5768,41.0425
2068645000,26.5131,-1.8300,41.0193
2068745000,26.3891,-1.7072,41.1045
2068845000,26.3590,-1.7091,41.1238
2068945000,27.1125,-1.8331,40.6255
2069045000,26.4858,-3.4693,40.9310
2069145000,27.2102,-2.0123,40.5516
2069245000,27.6405,-0.5447,40.3062
2069345000,27.9105,1.4391,40.0975
2069445000,27.5254,2.1323,40.3322
2069545000,26.2996,3.1906,41.0735
2069645000,25.9893,3.6549,41.2320
2069745000,25.7624,4.7604,41.2615
2069845000,25.3019,6.3602,41.3308
2069945000,24.4242,7.7565,41.6194
2070045000,23.1860,9.5104,41.9624
2070145000,21.8846,10.9975,42.2965
2070245000,20.1600,11.9259,42.8979
2070345000,19.1768,12.9776,43.0431
2070445000,16.6149,12.0913,44.3467
2070551000,15.0672,14.0195,44.3319
2070648000,13.1749,15.8454,44.3196
2070745000,11.8038,16.5141,44.4616
2070845000,10.2157,16.7197,44.7769
2070945000,8.9876,17.7528,44.6424
2071045000,8.0011,16.7709,45.2062
2071145000,7.0984,17.3647,45.1327
2071245000,6.6908,17.1588,45.2735
2071345000,6.2124,16.9383,45.4244
2071445000,5.8435,16.2548,45.7222
2071545000,5.7758,16.3433,45.6992
2071645000,5.8526,16.3274,45.6951
2071745000,7.6673,15.9070,45.5748
2071845000,8.3896,14.8399,45.8069
2071945000,9.1393,16.4874,45.0946
2072048000,9.4285,16.2593,45.1178
2072145000,8.5503,17.1808,44.9510
2072245000,6.9753,18.0311,44.8899
2072345000,5.3579,18.9336,44.7402
2072445000,4.7965,19.4355,44.5885
2072545000,4.5658,19.5809,44.5491
2072645000,4.4736,19.5394,44.5767
2072745000,4.3151,19.6233,44.5554
2072845000,4.5557,19.8566,44.4279
2072945000,4.6889,19.6074,44.5246
2073045000,5.6280,19.1872,44.5989
2073145000,6.4871,18.9830,44.5695
2073245000,7.2999,18.6778,44.5727
2073345000,8.7276,18.3600,44.4479
2073445000,8.2203,19.2197,44.1804
2073547000,6.5410,20.1419,44.0500
2073645000,3.7082,19.4747,44.6751
2073745000,1.2674,18.3207,45.2949
2073845000,-1.3924,16.4117,46.0173
2073945000,-3.0139,13.2209,46.9575
2074045000,-4.5984,10.3526,47.5453
2074145000,-5.9050,9.0224,47.6719
2074245000,-7.4046,7.7539,47.6857
2074345000,-8.8682,6.1287,47.6726
2074445000,-9.7208,4.5051,47.6874
2074545000,-10.1365,3.2619,47.7021
2074645000,-12.1648,1.6441,47.3096
2074745000,-12.4827,1.1340,47.2417
2074845000,-12.3396,0.5725,47.2894
2074945000,-12.4312,-0.2484,47.2682
2075045000,-12.9171,-1.5513,47.1129
2075145000,-13.9635,-2.6314,46.7651
2075245000,-14.0549,-3.9568,46.6442
2075345000,-14.1136,-5.0169,46.5244
2075445000,-12.8283,-5.0506,46.8914
2075545000,-13.2790,-5.5003,46.7150
2075645000,-13.8024,-5.7251,46.5360
2075745000,-14.3433,-6.0224,46.3344
2075845000,-14.6919,-6.4320,46.1699
2075945000,-14.0072,-7.1067,46.2836
2076045000,-15.5598,-8.2823,45.5870
2076145000,-15.3396,-8.7688,45.5706
2076245000,-15.1990,-10.2863,45.2997
2076345000,-14.3974,-12.6457,44.9631
2076445000,-13.1281,-15.4072,44.4876
2076545000,-10.8170,-17.5878,44.3006
2076645000,-7.9439,-19.8931,43.9322
2076745000,-4.7043,-21.9626,43.4096
2076845000,-1.8441,-24.3119,42.3605
2076945000,1.0070,-24.5513,42.2504
2077045000,2.4771,-24.2500,42.3637
2077145000,3.7834,-23.6867,42.5853
2077245000,4.6045,-23.5089,42.6029
2077345000,4.3602,-24.0675,42.3157
2077445000,3.8928,-24.6132,42.0466
2077549000,3.6094,-24.8972,41.9044
2077645000,3.5753,-25.1977,41.7273
2077745000,0.7000,-25.7476,41.5385
2077847000,-0.5997,-25.7950,41.5107
2077949000,-4.0252,-23.5705,42.6276
2078045000,-3.0818,-25.5134,41.5746
2078146000,-3.9629,-29.2022,38.9924
2078246000,0.0006,-25.2012,41.8781
2078345000,2.6421,-21.3466,43.8887
2078446000,1.9013,-21.5541,43.8256
2078545000,5.4503,-18.7544,44.8046
2078646000,1.5670,-18.5938,45.1741
2078745000,1.7230,-17.3746,45.6512
2078846000,-3.5374,-17.3609,45.5518
2078945000,-4.4088,-21.3337,43.7529
2079048000,0.5296,-27.4716,40.4216
2079148000,1.4389,-29.2268,39.1485
2079245000,-2.3993,-22.0595,43.5488
2079345000,-2.1942,-21.5007,43.8382
2079445000,1.7127,-23.5843,42.7753
2079545000,2.4615,-21.7852,43.6832
2079646000,3.3581,-20.5967,44.1970
2079746000,4.8534,-22.2220,43.2609
2079845000,4.2162,-20.8089,44.0238
2079945000,3.9195,-20.4290,44.2286
2080045000,5.9574,-22.4856,42.9859
2080146000,4.0213,-20.5294,44.1730
2080245000,4.6165,-21.8783,43.4616
2080345000,4.1985,-21.9733,43.4560
2080445000,2.1995,-21.2314,43.9690
2080545000,0.9258,-20.6936,44.2696
2080645000,1.0322,-20.7094,44.2599
2080745000,0.9707,-20.6847,44.2728
2080845000,0.9730,-20.5398,44.3401
2080947000,0.9933,-20.6858,44.2718
2081046000,1.1292,-20.8547,44.1892
2081145000,1.1077,-20.8251,44.2037
2081245000,1.0608,-20.7683,44.2316
2081345000,1.0834,-20.8643,44.1858
2081445000,1.0602,-20.8711,44.1832
2081545000,1.0779,-20.8749,44.1809
2081645000,1.1101,-20.8425,44.1955
2081745000,1.0981,-20.8614,44.1868
2081845000,1.0976,-20.7901,44.2204
2081945000,1.0939,-20.8513,44.1917
2082048000,1.0909,-20.9737,44.1338
2082145000,1.1149,-20.9516,44.1437
2082245000,1.1358,-21.0487,44.0970
2082348000,1.1280,-21.1157,44.0651
2082445000,1.0569,-21.0541,44.0963
2082548000,1.2198,-21.0572,44.0907
2082645000,1.1526,-21.0441,44.0987
2082748000,1.0960,-20.8929,44.1720
2082845000,1.1079,-20.9964,44.1226
2082945000,1.0558,-20.9838,44.1299
2083045000,1.0039,-21.0002,44.1233
2083145000,1.0741,-20.9804,44.1311
2083245000,1.1452,-20.9315,44.1525
2083345000,1.0942,-21.0157,44.1137
2083445000,1.0834,-20.9804,44.1308
2083545000,1.1852,-21.1293,44.0571
2083645000,1.0825,-20.9615,44.1398
2083745000,1.0846,-20.7953,44.2183
2083845000,1.1422,-21.0989,44.0728
2083945000,1.1495,-20.8988,44.1678
2084045000,1.0786,-21.0188,44.1126
2084145000,1.0691,-20.9802,44.1312
2084245000,1.0318,-20.8902,44.1748
2084345000,1.1116,-20.8660,44.1843
2084445000,1.1115,-20.8272,44.2026
2084545000,1.0539,-21.1143,44.0676
2084645000,1.0795,-21.0514,44.0971
2084747000,1.0997,-20.9627,44.1388
2084845000,1.1775,-20.9213,44.1564
2084946000,1.0673,-20.9382,44.1512
2085045000,1.0572,-20.9377,44.1517
2085145000,1.1563,-20.9255,44.1550
2085245000,1.1760,-20.9520,44.1419
2085345000,1.0697,-20.8855,44.1762
2085445000,1.2097,-20.9872,44.1243
2085545000,1.2288,-20.7937,44.2153
2085645000,1.1485,-21.0642,44.0892
2085745000,1.1758,-20.9380,44.1486
